query	locale	cluster	target_path	engine	position	serp_url	top_competitors	checked_at	notes
EPOS POCHTA	ru	brand	/	google					
epos pochta	uz	brand	/	google					
рассчитать стоимость доставки	ru	calculator	/calculator/	google					
калькулятор доставки	ru	calculator	/calculator/	google					
стоимость доставки посылок	ru	calculator	/calculator/	google					
yetkazib berish narxi	uz	calculator	/calculator/	google					
доставка до двери	ru	services	/services/door/	google					
доставка для интернет-магазинов	ru	services	/services/ecommerce/	google					
доставка документов курьером	ru	services	/services/documents/	google					
наложенный платеж доставка	ru	services	/services/cod/	google					
вызвать курьера ташкент	ru	services	/services/courier/	google					
доставка для бизнеса	ru	business	/business/	google					
корпоративная доставка	ru	business	/business/	google					
доставка посылок узбекистан	ru	head	/	google					
доставка по узбекистану	ru	head	/	google					
yetkazib berish	uz	head	/	google					
курьер ташкент	ru	cities	/delivery/tashkent/	google					
toshkent pochta	uz	cities	/delivery/tashkent/	google					
доставка в самарканд	ru	cities	/delivery/samarkand/	google					
доставка в бухару	ru	cities	/delivery/bukhara/	google					
доставка в фергану	ru	cities	/delivery/fergana/	google					
доставка в андижан	ru	cities	/delivery/andijan/	google					
доставка в наманган	ru	cities	/delivery/namangan/	google					
доставка из ташкента в самарканд	ru	routes	/delivery/tas/skd/	google					
доставка из ташкента в бухару	ru	routes	/delivery/tas/bhk/	google					
доставка из ташкента в фергану	ru	routes	/delivery/tas/feg/	google					
доставка из ташкента в андижан	ru	routes	/delivery/tas/azn/	google					
доставка из ташкента в наманган	ru	routes	/delivery/tas/nma/	google					
